______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:28:32 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'pid': 0, 'username': 'root', 'name': 'kernel_task'} 
{'pid': 648, 'username': 'shubhamwalhekar', 'name': 'ControlCenter'} 
{'pid': 649, 'username': 'shubhamwalhekar', 'name': 'SystemUIServer'} 
{'pid': 650, 'username': 'shubhamwalhekar', 'name': 'Finder'} 
{'pid': 652, 'username': 'shubhamwalhekar', 'name': 'fontd'} 
{'pid': 655, 'username': 'shubhamwalhekar', 'name': 'WallpaperAgent'} 
{'pid': 658, 'username': 'root', 'name': 'awdd'} 
{'pid': 659, 'username': 'shubhamwalhekar', 'name': 'Spotlight'} 
{'pid': 660, 'username': 'root', 'name': 'filecoordination'} 
{'pid': 662, 'username': 'shubhamwalhekar', 'name': 'fontworker'} 
{'pid': 668, 'username': 'root', 'name': 'automountd'} 
{'pid': 671, 'username': 'shubhamwalhekar', 'name': 'AMPDeviceDiscoveryAgent'} 
{'pid': 673, 'username': 'shubhamwalhekar', 'name': 'corespotlightd'} 
{'pid': 675, 'username': 'shubhamwalhekar', 'name': 'ACCFinderSync'} 
{'pid': 683, 'username': 'shubhamwalhekar', 'name': 'sharingd'} 
{'pid': 688, 'username': '_nearbyd', 'name': 'nearbyd'} 
{'pid': 690, 'username': 'shubhamwalhekar', 'name': 'WallpaperVideoExtension'} 
{'pid': 692, 'username': 'shubhamwalhekar', 'name': 'commerce'} 
{'pid': 694, 'username': 'shubhamwalhekar', 'name': 'WiFiAgent'} 
{'pid': 700, 'username': '_oahd', 'name': 'oahd'} 
{'pid': 706, 'username': 'shubhamwalhekar', 'name': 'familycircled'} 
{'pid': 708, 'username': 'shubhamwalhekar', 'name': 'useractivityd'} 
{'pid': 709, 'username': 'shubhamwalhekar', 'name': 'com.apple.dock.extra'} 
{'pid': 711, 'username': 'shubhamwalhekar', 'name': 'imagent'} 
{'pid': 725, 'username': 'shubhamwalhekar', 'name': 'imklaunchagent'} 
{'pid': 728, 'username': 'shubhamwalhekar', 'name': 'StatusKitAgent'} 
{'pid': 734, 'username': '_fpsd', 'name': 'fairplayd'} 
{'pid': 741, 'username': 'shubhamwalhekar', 'name': 'PAH_Extension'} 
{'pid': 754, 'username': 'shubhamwalhekar', 'name': 'mediaremoteagent'} 
{'pid': 758, 'username': 'shubhamwalhekar', 'name': 'avconferenced'} 
{'pid': 761, 'username': 'root', 'name': 'SubmitDiagInfo'} 
{'pid': 769, 'username': 'shubhamwalhekar', 'name': 'iTermServer-3.4.23'} 
{'pid': 774, 'username': 'shubhamwalhekar', 'name': 'chrome_crashpad_handler'} 
{'pid': 827, 'username': '_accessoryupdater', 'name': 'distnoted'} 
{'pid': 833, 'username': '_gamecontrollerd', 'name': 'distnoted'} 
{'pid': 835, 'username': 'root', 'name': 'aned'} 
{'pid': 836, 'username': 'shubhamwalhekar', 'name': 'Code Helper (GPU)'} 
{'pid': 837, 'username': 'shubhamwalhekar', 'name': 'Code Helper'} 
{'pid': 838, 'username': 'root', 'name': 'CVMServer'} 
{'pid': 839, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Renderer)'} 
{'pid': 853, 'username': '_applepay', 'name': 'distnoted'} 
{'pid': 857, 'username': 'shubhamwalhekar', 'name': 'Code Helper'} 
{'pid': 859, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 864, 'username': 'shubhamwalhekar', 'name': 'Code Helper'} 
{'pid': 867, 'username': 'shubhamwalhekar', 'name': 'Code Helper'} 
{'pid': 873, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 874, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 876, 'username': 'shubhamwalhekar', 'name': 'chrome_crashpad_handler'} 
{'pid': 887, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (GPU)'} 
{'pid': 888, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper'} 
{'pid': 904, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper'} 
{'pid': 906, 'username': 'shubhamwalhekar', 'name': 'corespeechd'} 
{'pid': 913, 'username': 'shubhamwalhekar', 'name': 'icdd'} 
{'pid': 916, 'username': 'shubhamwalhekar', 'name': 'php-fpm'} 
{'pid': 917, 'username': 'shubhamwalhekar', 'name': 'AirPlayUIAgent'} 
{'pid': 920, 'username': 'shubhamwalhekar', 'name': 'diagnostics_agent'} 
{'pid': 922, 'username': 'shubhamwalhekar', 'name': 'TextInputMenuAgent'} 
{'pid': 925, 'username': 'root', 'name': 'ctkahp'} 
{'pid': 932, 'username': 'shubhamwalhekar', 'name': 'Loom'} 
{'pid': 933, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 934, 'username': 'shubhamwalhekar', 'name': 'ctkahp'} 
{'pid': 961, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 965, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 970, 'username': 'shubhamwalhekar', 'name': 'chrome_crashpad_handler'} 
{'pid': 976, 'username': 'shubhamwalhekar', 'name': 'Loom Helper (GPU)'} 
{'pid': 985, 'username': 'shubhamwalhekar', 'name': 'Loom Helper'} 
{'pid': 992, 'username': 'shubhamwalhekar', 'name': 'loom-recorder-production'} 
{'pid': 994, 'username': 'shubhamwalhekar', 'name': 'loom_crashpad_handler'} 
{'pid': 1000, 'username': 'shubhamwalhekar', 'name': 'Loom Helper (Renderer)'} 
{'pid': 1010, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 1017, 'username': 'shubhamwalhekar', 'name': 'Loom Helper'} 
{'pid': 1020, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 1088, 'username': 'shubhamwalhekar', 'name': 'mdbulkimport'} 
{'pid': 1094, 'username': 'shubhamwalhekar', 'name': 'zsh'} 
{'pid': 1124, 'username': 'shubhamwalhekar', 'name': 'TabNine-deep-local'} 
{'pid': 1136, 'username': 'shubhamwalhekar', 'name': 'TabNine'} 
{'pid': 1159, 'username': 'shubhamwalhekar', 'name': 'php-fpm'} 
{'pid': 1160, 'username': 'shubhamwalhekar', 'name': 'php-fpm'} 
{'pid': 1173, 'username': 'shubhamwalhekar', 'name': 'TabNine'} 
{'pid': 1191, 'username': 'shubhamwalhekar', 'name': 'UserNotificationCenter'} 
{'pid': 1198, 'username': '_driverkit', 'name': 'IOUserBluetoothS'} 
{'pid': 1233, 'username': '_spotlight', 'name': 'mdbulkimport'} 
{'pid': 1244, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 1256, 'username': 'root', 'name': 'systemstats'} 
{'pid': 1283, 'username': '_www', 'name': 'httpd'} 
{'pid': 1322, 'username': 'root', 'name': 'CrashReporterSup'} 
{'pid': 1359, 'username': '_assetcache', 'name': 'distnoted'} 
{'pid': 1429, 'username': '_rmd', 'name': 'distnoted'} 
{'pid': 1605, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper'} 
{'pid': 1606, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Plugin)'} 
{'pid': 1663, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 1701, 'username': 'shubhamwalhekar', 'name': 'PasswordBreachAgent'} 
{'pid': 1994, 'username': 'shubhamwalhekar', 'name': 'CharacterPalette'} 
{'pid': 2976, 'username': 'shubhamwalhekar', 'name': 'seserviced'} 
{'pid': 3010, 'username': 'root', 'name': 'fbahelperd'} 
{'pid': 3020, 'username': 'shubhamwalhekar', 'name': 'storedownloadd'} 
{'pid': 3055, 'username': 'root', 'name': 'simdiskimaged'} 
{'pid': 4782, 'username': 'root', 'name': 'coreauthd'} 
{'pid': 6874, 'username': 'shubhamwalhekar', 'name': 'IMAutomaticHistoryDeletionAgent'} 
{'pid': 6940, 'username': 'shubhamwalhekar', 'name': 'ShipIt'} 
{'pid': 8165, 'username': 'shubhamwalhekar', 'name': 'mdwrite'} 
{'pid': 8857, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 9509, 'username': 'shubhamwalhekar', 'name': 'PowerChime'} 
{'pid': 9529, 'username': 'root', 'name': 'com.apple.Ambien'} 
{'pid': 9631, 'username': 'root', 'name': 'taskgated'} 
{'pid': 10192, 'username': 'shubhamwalhekar', 'name': 'bird'} 
{'pid': 10373, 'username': 'shubhamwalhekar', 'name': 'UniversalControl'} 
{'pid': 10452, 'username': 'root', 'name': 'mdsync'} 
{'pid': 10456, 'username': 'shubhamwalhekar', 'name': 'mbuseragent'} 
{'pid': 10518, 'username': 'root', 'name': 'logd_reporter'} 
{'pid': 10542, 'username': '_neuralengine', 'name': 'distnoted'} 
{'pid': 13757, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 16795, 'username': 'shubhamwalhekar', 'name': 'ControlCenterHelper'} 
{'pid': 18077, 'username': 'shubhamwalhekar', 'name': 'cfprefsd'} 
{'pid': 18087, 'username': 'shubhamwalhekar', 'name': 'accountsd'} 
{'pid': 18107, 'username': 'root', 'name': 'gamepolicyd'} 
{'pid': 18530, 'username': 'shubhamwalhekar', 'name': 'coreauthd'} 
{'pid': 19806, 'username': '_softwareupdate', 'name': 'softwareupdated'} 
{'pid': 19838, 'username': 'root', 'name': 'suhelperd'} 
{'pid': 24015, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 28467, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 30751, 'username': '_trustd', 'name': 'trustd'} 
{'pid': 30753, 'username': 'shubhamwalhekar', 'name': 'trustd'} 
{'pid': 31735, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 33079, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 34020, 'username': 'shubhamwalhekar', 'name': 'ScreenTimeAgent'} 
{'pid': 35030, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 35199, 'username': 'shubhamwalhekar', 'name': 'DiskUnmountWatcher'} 
{'pid': 39100, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 44248, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 46373, 'username': 'root', 'name': 'PerfPowerService'} 
{'pid': 50727, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 51121, 'username': 'root', 'name': 'WirelessRadioMan'} 
{'pid': 51891, 'username': '_netbios', 'name': 'netbiosd'} 
{'pid': 52060, 'username': 'shubhamwalhekar', 'name': 'universalAccessAuthWarn'} 
{'pid': 54086, 'username': 'shubhamwalhekar', 'name': 'secd'} 
{'pid': 54554, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 55061, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 58491, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Renderer)'} 
{'pid': 58492, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 58493, 'username': 'shubhamwalhekar', 'name': 'Code Helper'} 
{'pid': 58496, 'username': 'shubhamwalhekar', 'name': 'zsh'} 
{'pid': 58512, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 58549, 'username': 'shubhamwalhekar', 'name': 'TabNine'} 
{'pid': 58558, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 58565, 'username': 'shubhamwalhekar', 'name': 'TabNine'} 
{'pid': 58609, 'username': 'root', 'name': 'tccd'} 
{'pid': 60815, 'username': 'shubhamwalhekar', 'name': 'BiomeAgent'} 
{'pid': 61280, 'username': 'shubhamwalhekar', 'name': 'launcher'} 
{'pid': 62116, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62118, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62119, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62125, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62127, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62128, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62132, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62275, 'username': 'shubhamwalhekar', 'name': 'UIKitSystem'} 
{'pid': 62277, 'username': '_audiomxd', 'name': 'audiomxd'} 
{'pid': 62305, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62361, 'username': 'root', 'name': 'audioanalyticsd'} 
{'pid': 62717, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 62719, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63074, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63077, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63078, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63079, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63080, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63081, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63082, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63083, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63084, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63085, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63086, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63087, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63088, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 63097, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper'} 
{'pid': 63156, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Renderer)'} 
{'pid': 63157, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 63158, 'username': 'shubhamwalhekar', 'name': 'Code Helper'} 
{'pid': 63159, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 63160, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 63161, 'username': 'shubhamwalhekar', 'name': 'zsh'} 
{'pid': 63164, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 63168, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 63226, 'username': 'shubhamwalhekar', 'name': 'TabNine'} 
{'pid': 63246, 'username': 'shubhamwalhekar', 'name': 'Code Helper (Plugin)'} 
{'pid': 63272, 'username': 'shubhamwalhekar', 'name': 'TabNine'} 
{'pid': 63651, 'username': 'shubhamwalhekar', 'name': 'WD-TabNine'} 
{'pid': 64159, 'username': 'shubhamwalhekar', 'name': 'ViewBridgeAuxiliary'} 
{'pid': 64161, 'username': 'shubhamwalhekar', 'name': 'ContextStoreAgent'} 
{'pid': 64167, 'username': 'shubhamwalhekar', 'name': 'contentlinkingd'} 
{'pid': 64168, 'username': 'shubhamwalhekar', 'name': 'CursorUIViewService'} 
{'pid': 64171, 'username': 'shubhamwalhekar', 'name': 'com.apple.hiservices-xpcservice'} 
{'pid': 64320, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64324, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64325, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64331, 'username': 'shubhamwalhekar', 'name': 'cloudd'} 
{'pid': 64337, 'username': '_biome', 'name': 'biomed'} 
{'pid': 64339, 'username': 'root', 'name': 'usermanagerd'} 
{'pid': 64340, 'username': 'shubhamwalhekar', 'name': 'pkd'} 
{'pid': 64341, 'username': 'shubhamwalhekar', 'name': 'proactived'} 
{'pid': 64348, 'username': 'root', 'name': 'mobileassetd'} 
{'pid': 64360, 'username': 'shubhamwalhekar', 'name': 'com.apple.appkit.xpc.openAndSavePanelService'} 
{'pid': 64364, 'username': 'shubhamwalhekar', 'name': 'QuickLookUIService'} 
{'pid': 64375, 'username': 'shubhamwalhekar', 'name': 'syncdefaultsd'} 
{'pid': 64377, 'username': 'root', 'name': 'backupd'} 
{'pid': 64390, 'username': 'shubhamwalhekar', 'name': 'suggestd'} 
{'pid': 64418, 'username': 'shubhamwalhekar', 'name': 'chronod'} 
{'pid': 64456, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64470, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64514, 'username': 'shubhamwalhekar', 'name': 'com.apple.AuthenticationServices.Helper'} 
{'pid': 64533, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64785, 'username': 'shubhamwalhekar', 'name': 'routined'} 
{'pid': 64818, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper (Renderer)'} 
{'pid': 64819, 'username': 'shubhamwalhekar', 'name': 'Google Chrome Helper'} 
{'pid': 64901, 'username': 'shubhamwalhekar', 'name': 'CommCenter'} 
{'pid': 64922, 'username': 'root', 'name': 'ospredictiond'} 
{'pid': 64923, 'username': 'shubhamwalhekar', 'name': 'triald'} 
{'pid': 64924, 'username': 'root', 'name': 'osanalyticshelpe'} 
{'pid': 64925, 'username': 'shubhamwalhekar', 'name': 'replayd'} 
{'pid': 64930, 'username': 'root', 'name': 'wifip2pd'} 
{'pid': 64934, 'username': 'shubhamwalhekar', 'name': 'Keychain Circle Notification'} 
{'pid': 64935, 'username': 'root', 'name': 'com.apple.CodeSi'} 
{'pid': 64936, 'username': 'root', 'name': 'idleassetsd'} 
{'pid': 64939, 'username': 'root', 'name': 'online-auth-agen'} 
{'pid': 64940, 'username': 'shubhamwalhekar', 'name': 'intelligentroutingd'} 
{'pid': 64941, 'username': 'shubhamwalhekar', 'name': 'containermanagerd'} 
{'pid': 64942, 'username': 'shubhamwalhekar', 'name': 'bluetoothuserd'} 
{'pid': 64943, 'username': 'shubhamwalhekar', 'name': 'audioaccessoryd'} 
{'pid': 64944, 'username': 'shubhamwalhekar', 'name': 'callservicesd'} 
{'pid': 64945, 'username': 'shubhamwalhekar', 'name': 'tccd'} 
{'pid': 64946, 'username': 'shubhamwalhekar', 'name': 'com.apple.FaceTime.FTConversationService'} 
{'pid': 64947, 'username': 'root', 'name': 'sandboxd'} 
{'pid': 64948, 'username': 'shubhamwalhekar', 'name': 'contactsd'} 
{'pid': 64949, 'username': 'shubhamwalhekar', 'name': 'dmd'} 
{'pid': 64950, 'username': 'shubhamwalhekar', 'name': 'ManagedSettingsAgent'} 
{'pid': 64951, 'username': 'shubhamwalhekar', 'name': 'fileproviderd'} 
{'pid': 64957, 'username': 'shubhamwalhekar', 'name': 'com.apple.quicklook.ThumbnailsAgent'} 
{'pid': 64958, 'username': 'shubhamwalhekar', 'name': 'ThumbnailExtension_macOS'} 
{'pid': 64959, 'username': 'shubhamwalhekar', 'name': 'secinitd'} 
{'pid': 64960, 'username': 'shubhamwalhekar', 'name': 'extensionkitservice'} 
{'pid': 64961, 'username': 'shubhamwalhekar', 'name': 'ScreenTimeWidgetExtension'} 
{'pid': 64962, 'username': 'shubhamwalhekar', 'name': 'NewsToday2'} 
{'pid': 64963, 'username': 'shubhamwalhekar', 'name': 'knowledge-agent'} 
{'pid': 64964, 'username': 'shubhamwalhekar', 'name': 'com.apple.geod'} 
{'pid': 64965, 'username': '_cmiodalassistants', 'name': 'com.apple.geod'} 
{'pid': 64966, 'username': '_locationd', 'name': 'com.apple.geod'} 
{'pid': 64967, 'username': 'root', 'name': 'com.apple.geod'} 
{'pid': 64968, 'username': '_locationd', 'name': 'secinitd'} 
{'pid': 64969, 'username': '_cmiodalassistants', 'name': 'secinitd'} 
{'pid': 64970, 'username': 'shubhamwalhekar', 'name': 'amsaccountsd'} 
{'pid': 64971, 'username': 'shubhamwalhekar', 'name': 'amsengagementd'} 
{'pid': 64972, 'username': '_cmiodalassistants', 'name': 'cfprefsd'} 
{'pid': 64973, 'username': '_locationd', 'name': 'cfprefsd'} 
{'pid': 64974, 'username': '_cmiodalassistants', 'name': 'trustd'} 
{'pid': 64975, 'username': '_locationd', 'name': 'trustd'} 
{'pid': 64976, 'username': 'root', 'name': 'secinitd'} 
{'pid': 64977, 'username': 'root', 'name': 'trustdFileHelper'} 
{'pid': 64978, 'username': '_locationd', 'name': 'containermanager'} 
{'pid': 64979, 'username': '_cmiodalassistants', 'name': 'containermanager'} 
